,Type,Latitude,Longitude,Year,Month,Day,Hour,Minute,Second
709,Person search,51.516047,-0.075411,2020,10,23,3,15,14
710,Person and Vehicle search,51.516047,-0.075411,2020,10,23,3,21,6
714,Person and Vehicle search,51.51265,-0.101452,2020,10,26,6,0,13
716,Person search,51.517431,-0.082458,2020,10,26,12,13,11
718,Person search,51.518511,-0.08531,2020,10,30,2,47,30
719,Person search,51.518511,-0.08531,2020,10,30,3,3,53
721,Person search,51.517431,-0.082458,2020,10,30,8,38,26
722,Person search,51.517431,-0.082458,2020,10,30,10,17,31
723,Person search,51.518189,-0.082628,2020,10,30,10,36,55
724,Person search,51.518619,-0.088621,2020,10,30,10,40,20
726,Person and Vehicle search,51.510626,-0.039135,2020,10,30,12,15,36
727,Person search,51.518189,-0.082628,2020,10,31,9,18,38
729,Person search,51.50932,-0.084701,2020,11,3,4,14,48
730,Person and Vehicle search,51.513171,-0.077694,2020,11,3,10,1,12
732,Person search,51.51868,-0.085173,2020,11,5,2,6,35
734,Person and Vehicle search,51.516351,-0.082965,2020,11,5,5,51,13
735,Person and Vehicle search,51.517149,-0.08776,2020,11,5,10,17,59
736,Person and Vehicle search,51.510182,-0.092865,2020,11,6,4,34,22
738,Person and Vehicle search,51.51768,-0.078484,2020,11,6,10,7,14
739,Person search,51.51265,-0.101452,2020,11,6,10,36,27
741,Person and Vehicle search,51.510182,-0.092865,2020,11,6,12,36,44
745,Person search,51.510182,-0.092865,2020,11,9,3,46,21
749,Person search,51.517431,-0.082458,2020,11,11,8,28,31
750,Person and Vehicle search,51.51713,-0.107147,2020,11,12,4,12,11
751,Person search,51.525044,-0.094392,2020,11,12,4,46,36
753,Person search,51.518189,-0.082628,2020,11,13,7,19,32
754,Person and Vehicle search,51.51792,-0.092628,2020,11,13,8,7,31
755,Person search,51.51862,-0.094747,2020,11,14,7,39,35
758,Person and Vehicle search,51.51118,-0.073065,2020,11,17,10,56,5
759,Person and Vehicle search,51.509848,-0.104494,2020,11,18,5,11,51
760,Person and Vehicle search,51.516834,-0.076199,2020,11,18,7,19,46
761,Person search,51.508971,-0.078779,2020,11,18,8,24,25
764,Person search,51.510148,-0.077029,2020,11,20,8,12,26
765,Person search,51.512147,-0.092077,2020,11,20,9,21,56
766,Person search,51.51868,-0.085173,2020,11,20,11,0,18
767,Person search,51.5169,-0.084095,2020,11,22,12,3,53
768,Person search,51.520206,-0.097736,2020,11,22,12,38,41
769,Person search,51.511445,-0.07608,2020,11,23,1,59,19
770,Person search,51.512462,-0.076095,2020,11,23,5,1,47
771,Person and Vehicle search,51.525851,-0.055882,2020,11,23,5,52,36
773,Person and Vehicle search,51.509532,-0.088843,2020,11,24,4,40,3
774,Person search,51.509876,-0.086278,2020,11,25,2,29,15
775,Person and Vehicle search,51.546265,-0.071727,2020,11,25,4,49,22
776,Person and Vehicle search,51.528493,-0.091394,2020,11,25,11,16,40
777,Person search,51.512856,-0.073254,2020,11,26,4,5,13
778,Person and Vehicle search,51.512856,-0.073254,2020,11,26,4,25,22
780,Person and Vehicle search,51.513377,-0.096363,2020,11,26,10,20,42
781,Person search,51.513377,-0.096363,2020,11,26,11,43,25
782,Person search,51.516814,-0.08162,2020,11,27,5,11,12
783,Person search,51.513377,-0.096363,2020,11,27,12,45,20
784,Person and Vehicle search,51.506255,-0.074901,2020,11,28,2,30,2
785,Person and Vehicle search,51.506255,-0.074901,2020,11,28,2,36,40
786,Person and Vehicle search,51.516814,-0.08162,2020,11,28,6,51,6
787,Person search,51.517058,-0.083296,2020,11,28,9,38,16
788,Person search,51.517149,-0.08776,2020,11,28,11,51,43
789,Person search,51.506255,-0.074901,2020,11,28,12,45,24
790,Person search,51.508066,-0.08778,2020,11,29,3,43,2
792,Person search,51.514804,-0.080782,2020,11,30,4,22,25
793,Person search,51.509547,-0.076031,2020,11,30,4,28,2
794,Person and Vehicle search,51.516934,-0.073543,2020,11,30,5,34,43
795,Person search,51.516934,-0.073543,2020,11,30,5,37,23
796,Person search,51.516934,-0.073543,2020,11,30,5,40,10
797,Person search,51.516934,-0.073543,2020,11,30,5,42,30
798,Person search,51.511053,-0.075722,2020,11,30,8,37,21
799,Person search,51.534382,-0.057321,2020,12,2,1,6,59
800,Person search,51.517149,-0.08776,2020,12,2,6,10,18
801,Person search,51.52051,-0.08158,2020,12,2,8,55,23
802,Person search,51.510004,-0.07323,2020,12,3,10,8,42
803,Person search,51.515728,-0.078393,2020,12,5,2,15,48
805,Person and Vehicle search,51.513606,-0.083959,2020,12,5,7,36,44
806,Person and Vehicle search,51.522615,-0.077253,2020,12,5,7,58,50
807,Person and Vehicle search,51.522615,-0.077253,2020,12,5,9,48,21
809,Person and Vehicle search,51.522615,-0.077253,2020,12,6,5,56,23
810,Person and Vehicle search,51.51265,-0.101452,2020,12,7,7,35,20
811,Person search,51.514158,-0.100179,2020,12,7,8,35,2
812,Person search,51.514158,-0.100179,2020,12,7,9,4,1
813,Person and Vehicle search,51.506255,-0.074901,2020,12,8,12,55,29
814,Person and Vehicle search,51.506255,-0.074901,2020,12,9,2,45,0
815,Person and Vehicle search,51.50993,-0.068161,2020,12,9,5,37,54
816,Person and Vehicle search,51.507339,-0.108388,2020,12,9,7,58,59
817,Person search,51.513114,-0.086272,2020,12,9,8,4,27
819,Person search,51.517431,-0.082458,2020,12,10,12,9,50
821,Person and Vehicle search,51.509775,-0.085014,2020,12,11,12,5,41
822,Person search,51.513377,-0.096363,2020,12,12,2,42,13
823,Person search,51.517032,-0.089451,2020,12,12,11,10,20
825,Person and Vehicle search,51.515196,-0.071772,2020,12,14,4,20,6
826,Person search,51.512391,-0.093796,2020,12,15,4,1,28
827,Person search,51.52181,-0.097929,2020,12,16,2,47,32
828,Person search,51.517032,-0.089451,2020,12,16,9,58,9
829,Person search,51.50932,-0.084701,2020,12,18,6,50,37
831,Person search,51.511445,-0.07608,2020,12,19,7,27,50
833,Person and Vehicle search,51.521567,-0.097334,2020,12,22,8,8,22
835,Person search,51.514501,-0.089716,2020,12,27,9,4,2
836,Person search,51.511053,-0.075722,2020,12,27,12,48,23
837,Person search,51.513171,-0.077694,2020,12,30,11,36,8
838,Person search,51.509532,-0.088843,2020,12,31,2,26,2
839,Person and Vehicle search,51.513171,-0.077694,2020,12,31,12,16,22
840,Person search,51.509532,-0.088843,2020,12,31,12,24,26
841,Person and Vehicle search,51.513171,-0.077694,2020,12,31,12,49,17
842,Person and Vehicle search,51.51768,-0.078484,2021,1,1,1,41,28
843,Person search,51.510868,-0.0969,2021,1,1,6,54,55
844,Person and Vehicle search,51.513928,-0.108231,2021,1,1,12,15,28
845,Person search,51.514151,-0.074958,2021,1,3,3,30,33
847,Person search,51.51768,-0.078484,2021,1,9,4,55,15
849,Person search,51.51768,-0.078484,2021,1,9,12,11,28
850,Person search,51.51768,-0.078484,2021,1,10,1,19,9
851,Person search,51.511749,-0.108018,2021,1,10,3,39,44
852,Person search,51.516508,-0.079398,2021,1,10,11,8,49
853,Person and Vehicle search,51.517032,-0.089451,2021,1,11,7,40,51
854,Person and Vehicle search,51.517149,-0.08776,2021,1,11,8,22,2
857,Person and Vehicle search,51.510004,-0.07323,2021,1,16,7,41,25
858,Person search,51.516814,-0.08162,2021,1,17,2,20,15
860,Person and Vehicle search,51.516814,-0.08162,2021,1,17,8,48,18
864,Person and Vehicle search,51.527648,-0.118676,2021,1,26,6,21,2
866,Person search,51.509344,-0.080665,2021,1,27,8,30,39
867,Person search,51.509344,-0.080665,2021,1,27,8,42,50
868,Person and Vehicle search,51.510315,-0.053373,2021,1,28,6,8,53
869,Person search,51.510315,-0.053373,2021,1,28,6,19,14
872,Person search,51.516814,-0.08162,2021,1,30,1,41,20
874,Person search,51.510182,-0.092865,2021,2,2,7,48,41
875,Person and Vehicle search,51.51121,-0.094206,2021,2,2,8,35,26
876,Person search,51.510182,-0.092865,2021,2,4,5,47,43
879,Person search,51.518511,-0.08531,2021,2,5,4,21,6
880,Person search,51.509532,-0.088843,2021,2,5,9,23,48
882,Person search,51.520699,-0.097601,2021,2,8,11,3,14
884,Person search,51.510868,-0.0969,2021,2,17,6,20,17
886,Person search,51.506255,-0.074901,2021,2,18,5,6,12
887,Person and Vehicle search,51.516078,-0.08498,2021,2,18,8,9,30
888,Person and Vehicle search,51.516078,-0.08498,2021,2,18,8,22,33
889,Person search,51.516078,-0.08498,2021,2,18,8,57,36
890,Person search,51.516078,-0.08498,2021,2,18,9,33,1
891,Person and Vehicle search,51.516078,-0.08498,2021,2,18,9,39,3
892,Person and Vehicle search,51.510671,-0.084284,2021,2,18,12,42,59
893,Person and Vehicle search,51.517032,-0.089451,2021,2,19,8,30,47
894,Person and Vehicle search,51.517032,-0.089451,2021,2,19,10,25,7
895,Person search,51.516814,-0.08162,2021,2,21,5,27,3
896,Person search,51.51862,-0.094747,2021,2,22,6,49,36
897,Person search,51.51862,-0.094747,2021,2,22,6,52,50
898,Person search,51.517032,-0.089451,2021,2,23,3,46,54
899,Person search,51.516814,-0.08162,2021,2,23,5,36,1
900,Person and Vehicle search,51.510786,-0.068816,2021,2,23,10,28,59
902,Person search,51.509848,-0.104494,2021,2,26,2,24,53
903,Person search,51.522734,-0.102748,2021,2,26,3,4,9
904,Person and Vehicle search,51.509848,-0.104494,2021,2,26,8,22,33
905,Person search,51.506255,-0.074901,2021,2,27,6,15,8
906,Person and Vehicle search,51.508066,-0.08778,2021,2,27,7,7,12
907,Person search,51.525655,-0.090517,2021,2,28,2,15,9
908,Person search,51.511224,-0.074115,2021,2,28,3,42,52
911,Person search,51.525655,-0.090517,2021,3,1,3,11,45
913,Person search,51.512882,-0.084768,2021,3,2,2,57,35
914,Person and Vehicle search,51.513627,-0.076435,2021,3,2,9,3,39
916,Person search,51.512462,-0.076095,2021,3,4,6,58,4
917,Person search,51.512462,-0.076095,2021,3,4,7,6,42
918,Person and Vehicle search,51.513051,-0.104001,2021,3,4,7,59,31
919,Person search,51.512462,-0.076095,2021,3,4,8,49,11
920,Person search,51.517938,-0.098148,2021,3,4,12,25,15
921,Person and Vehicle search,51.514409,-0.079674,2021,3,5,4,28,46
923,Person search,51.517032,-0.089451,2021,3,5,9,48,31
924,Person and Vehicle search,51.514457,-0.073849,2021,3,6,2,12,33
925,Person search,51.516814,-0.08162,2021,3,6,12,16,20
926,Person and Vehicle search,51.517032,-0.089451,2021,3,8,4,46,37
927,Person search,51.517032,-0.089451,2021,3,8,7,13,26
928,Person search,51.507808,-0.07913,2021,3,8,10,12,26
929,Person search,51.507808,-0.07913,2021,3,8,10,19,25
930,Person search,51.507808,-0.07913,2021,3,8,10,31,14
933,Person and Vehicle search,51.510014,-0.081516,2021,3,10,7,49,49
934,Person and Vehicle search,51.510014,-0.081516,2021,3,10,7,59,45
935,Person and Vehicle search,51.515037,-0.102794,2021,3,10,12,15,40
938,Person search,51.510671,-0.084284,2021,3,12,4,55,32
940,Person search,51.513885,-0.102741,2021,3,12,12,35,6
941,Person search,51.511053,-0.075722,2021,3,13,2,8,25
943,Person and Vehicle search,51.51992,-0.056696,2021,3,13,12,22,21
944,Person search,51.518262,-0.088203,2021,3,15,12,37,18
945,Person search,51.516966,-0.1059,2021,3,16,8,26,28
946,Person search,51.516191,-0.086416,2021,3,17,5,14,6
947,Person and Vehicle search,51.508066,-0.08778,2021,3,18,2,53,22
948,Person and Vehicle search,51.5151,-0.085669,2021,3,18,11,23,19
949,Person and Vehicle search,51.52181,-0.097929,2021,3,19,2,7,20
951,Person search,51.510182,-0.092865,2021,3,20,1,41,38
952,Person search,51.510182,-0.092865,2021,3,20,2,18,21
953,Person search,51.506255,-0.074901,2021,3,21,2,37,22
954,Person search,51.506255,-0.074901,2021,3,21,2,45,56
956,Person search,51.509876,-0.086278,2021,3,21,6,42,48
957,Person search,51.518262,-0.088203,2021,3,22,1,48,50
958,Person and Vehicle search,51.506255,-0.074901,2021,3,22,2,12,38
959,Person search,51.512791,-0.101274,2021,3,22,8,47,1
960,Person search,51.512791,-0.101274,2021,3,22,8,54,51
961,Person and Vehicle search,51.509848,-0.104494,2021,3,23,5,54,40
962,Person search,51.517032,-0.089451,2021,3,24,6,22,20
963,Person search,51.517032,-0.089451,2021,3,24,7,17,23
964,Person and Vehicle search,51.515606,-0.094094,2021,3,24,7,59,20
965,Person search,51.505458,-0.114389,2021,3,24,8,16,14
969,Person search,51.511828,-0.080244,2021,3,26,5,16,18
970,Person and Vehicle search,51.516814,-0.08162,2021,3,26,8,6,20
971,Person and Vehicle search,51.515739,-0.100632,2021,3,27,2,16,18
972,Person search,51.50932,-0.084701,2021,3,27,5,26,51
973,Person search,51.513569,-0.086051,2021,3,27,9,3,55
974,Person and Vehicle search,51.511053,-0.075722,2021,3,28,1,51,36
975,Person and Vehicle search,51.525655,-0.090517,2021,3,28,1,53,0
976,Person search,51.506255,-0.074901,2021,3,28,2,55,13
977,Person search,51.51768,-0.078484,2021,3,28,7,22,28
978,Person search,51.514933,-0.074896,2021,3,28,7,43,17
979,Person and Vehicle search,51.506255,-0.074901,2021,3,29,2,14,59
984,Person and Vehicle search,51.509614,-0.079011,2021,3,30,5,57,21
986,Person search,51.514921,-0.103419,2021,3,30,9,58,16
987,Person search,51.516165,-0.102502,2021,3,30,11,35,31
989,Person search,51.50932,-0.084701,2021,3,31,6,38,36
990,Person search,51.516351,-0.082965,2021,3,31,7,11,29
991,Person search,51.513377,-0.096363,2021,3,31,11,13,59
992,Person search,51.510148,-0.077029,2021,3,31,11,42,28
997,Person search,51.518226,-0.111497,2021,4,6,3,16,34
998,Person and Vehicle search,51.517032,-0.089451,2021,4,6,8,42,10
1000,Person search,51.513377,-0.096363,2021,4,7,2,2,11
1001,Person and Vehicle search,51.516078,-0.08498,2021,4,7,6,29,46
1002,Person search,51.50932,-0.084701,2021,4,7,8,47,40
1004,Person and Vehicle search,51.506255,-0.074901,2021,4,8,0,39,8
1005,Person and Vehicle search,51.506255,-0.074901,2021,4,8,0,45,2
1006,Person search,51.506255,-0.074901,2021,4,8,1,9,37
1007,Person and Vehicle search,51.506255,-0.074901,2021,4,8,3,3,43
1008,Person and Vehicle search,51.506255,-0.074901,2021,4,8,3,16,30
1009,Person and Vehicle search,51.516078,-0.08498,2021,4,8,4,2,47
1011,Person search,51.516047,-0.075411,2021,4,9,0,2,47
1012,Person search,51.51768,-0.078484,2021,4,9,1,4,44
1014,Person and Vehicle search,51.518864,-0.097562,2021,4,9,9,53,56
1015,Person search,51.513171,-0.077694,2021,4,11,8,9,57
1016,Person search,51.507808,-0.07913,2021,4,12,0,21,7
1017,Person search,51.512462,-0.076095,2021,4,13,0,35,6
1018,Person search,51.516922,-0.092093,2021,4,13,2,1,25
1019,Person search,51.512856,-0.073254,2021,4,13,9,13,35
1020,Person and Vehicle search,51.523977,-0.075841,2021,4,13,10,16,42
1021,Person and Vehicle search,51.516814,-0.08162,2021,4,13,11,31,55
1022,Person and Vehicle search,51.516814,-0.08162,2021,4,13,11,48,3
1023,Person and Vehicle search,51.515546,-0.070056,2021,4,14,1,1,29
1024,Person and Vehicle search,51.511625,-0.081549,2021,4,14,7,15,9
1025,Person search,51.517032,-0.092723,2021,4,15,2,44,9
1026,Person and Vehicle search,51.504245,-0.07624,2021,4,15,7,12,6
1027,Person and Vehicle search,51.513952,-0.085833,2021,4,16,3,42,38
1030,Person and Vehicle search,51.503468,-0.095292,2021,4,17,8,17,1
1031,Person and Vehicle search,51.518864,-0.097562,2021,4,17,11,23,4
1033,Person and Vehicle search,51.516814,-0.08162,2021,4,17,11,54,21
1034,Person search,51.511053,-0.075722,2021,4,18,1,35,6
1035,Person and Vehicle search,51.523637,-0.076532,2021,4,18,3,10,31
1036,Person search,51.512206,-0.073152,2021,4,18,11,54,7
1037,Person search,51.512856,-0.073254,2021,4,20,5,19,36
1038,Person search,51.51265,-0.101452,2021,4,20,5,35,4
1039,Person and Vehicle search,51.51265,-0.101452,2021,4,20,7,4,22
1040,Person search,51.503468,-0.095292,2021,4,20,7,26,44
1041,Person and Vehicle search,51.514203,-0.094628,2021,4,21,4,20,8
1042,Person and Vehicle search,51.511749,-0.108018,2021,4,21,8,10,56
1043,Person search,51.514151,-0.074958,2021,4,22,4,1,33
1044,Person search,51.510795,-0.077578,2021,4,22,4,11,32
1045,Person search,51.510795,-0.077578,2021,4,22,4,24,18
1046,Person search,51.50995,-0.078665,2021,4,22,4,42,59
1047,Person search,51.514151,-0.074958,2021,4,22,8,30,11
1048,Person and Vehicle search,51.519635,-0.097962,2021,4,23,0,10,59
1050,Person and Vehicle search,51.518098,-0.116966,2021,4,24,4,12,55
1051,Person and Vehicle search,51.518098,-0.116966,2021,4,24,4,21,35
1052,Person and Vehicle search,51.514203,-0.094628,2021,4,25,4,21,57
1053,Person and Vehicle search,51.514203,-0.094628,2021,4,25,4,32,0
1054,Person search,51.508066,-0.08778,2021,4,27,3,54,10
1055,Person search,51.508066,-0.08778,2021,4,27,3,57,4
1056,Person search,51.508066,-0.08778,2021,4,27,4,5,44
1057,Person search,51.508066,-0.08778,2021,4,27,4,9,39
1058,Person search,51.508066,-0.08778,2021,4,27,4,12,5
1059,Person search,51.514203,-0.094628,2021,4,27,5,10,21
1060,Person and Vehicle search,51.509757,-0.083386,2021,4,28,8,42,53
1061,Person and Vehicle search,51.537541,-0.061815,2021,4,30,2,21,5
1062,Person search,51.517032,-0.089451,2021,4,30,9,8,18
1063,Person search,51.514158,-0.100179,2021,5,1,4,52,18
1064,Person search,51.512462,-0.076095,2021,5,1,6,6,39
1066,Person search,51.510961,-0.10269,2021,5,5,5,55,28
1068,Person and Vehicle search,51.509757,-0.083386,2021,5,6,0,35,35
1069,Person search,51.511053,-0.075722,2021,5,6,0,51,10
1070,Person and Vehicle search,51.51265,-0.101452,2021,5,9,0,48,9
1071,Person search,51.51265,-0.101452,2021,5,9,0,55,10
1075,Person search,51.519946,-0.108356,2021,5,11,6,30,46
1078,Person and Vehicle search,51.518864,-0.097562,2021,5,13,4,16,39
1079,Person search,51.517149,-0.08776,2021,5,14,2,28,45
1080,Person search,51.516814,-0.08162,2021,5,14,3,8,7
1081,Person and Vehicle search,51.509848,-0.104494,2021,5,14,6,52,55
1082,Person search,51.508066,-0.08778,2021,5,14,9,14,2
1083,Person and Vehicle search,51.512856,-0.073254,2021,5,15,1,14,43
1084,Person and Vehicle search,51.51539,-0.070437,2021,5,16,1,39,0
1085,Person search,51.507808,-0.07913,2021,5,16,2,39,23
1086,Person search,51.514457,-0.073849,2021,5,16,7,19,40
1087,Person search,51.514457,-0.073849,2021,5,16,7,20,0
1088,Person search,51.516814,-0.08162,2021,5,16,8,13,15
1089,Person search,51.516814,-0.08162,2021,5,16,8,33,0
1090,Person and Vehicle search,51.522862,-0.115198,2021,5,17,1,32,0
1092,Person search,51.509532,-0.088843,2021,5,17,7,7,11
1093,Person and Vehicle search,51.503196,-0.127032,2021,5,18,4,27,40
1094,Person search,51.514276,-0.087549,2021,5,18,4,29,35
1095,Person search,51.506255,-0.074901,2021,5,18,5,14,45
1096,Person search,51.508066,-0.08778,2021,5,18,5,57,27
1097,Person and Vehicle search,51.506255,-0.074901,2021,5,18,6,2,40
1100,Person search,51.514276,-0.087549,2021,5,18,11,25,10
1102,Person and Vehicle search,51.525993,-0.073233,2021,5,20,7,37,20
1104,Person search,51.514367,-0.076592,2021,5,20,10,36,7
1107,Person search,51.519812,-0.093933,2021,5,22,8,26,46
1108,Person search,51.513061,-0.076459,2021,5,22,11,1,43
1109,Person search,51.518262,-0.097053,2021,5,23,2,37,42
1112,Person search,51.512462,-0.076095,2021,5,24,11,32,33
1113,Person search,51.512462,-0.076095,2021,5,24,11,37,30
1117,Person search,51.519812,-0.093933,2021,5,26,10,38,16
1118,Person and Vehicle search,51.511053,-0.075722,2021,5,27,3,11,46
1119,Person search,51.514457,-0.073849,2021,5,27,9,52,46
1120,Person search,51.515196,-0.071772,2021,5,28,1,58,4
1121,Person search,51.516351,-0.082965,2021,5,28,9,1,8
1122,Person search,51.513524,-0.090506,2021,5,31,2,18,33
1123,Person search,51.511386,-0.092296,2021,6,3,4,17,37
1124,Person search,51.517231,-0.079613,2021,6,3,6,21,20
1125,Person search,51.516814,-0.08162,2021,6,3,6,21,20
1126,Person and Vehicle search,51.516233,-0.077392,2021,6,3,10,13,16
1127,Person and Vehicle search,51.512462,-0.076095,2021,6,3,10,18,12
1129,Person and Vehicle search,51.513377,-0.096363,2021,6,4,9,26,1
1130,Person and Vehicle search,51.516233,-0.077392,2021,6,4,11,31,57
1132,Person search,51.514513,-0.096561,2021,6,5,1,19,54
1133,Person search,51.507808,-0.07913,2021,6,5,5,35,37
1134,Person search,51.509414,-0.093791,2021,6,5,9,6,57
1135,Person search,51.509547,-0.076031,2021,6,6,0,57,26
1136,Person and Vehicle search,51.516347,-0.104887,2021,6,6,6,51,33
1137,Person search,51.51768,-0.078484,2021,6,6,8,42,41
1142,Person search,51.516351,-0.082965,2021,6,9,0,12,21
1143,Person search,51.515504,-0.07627,2021,6,10,1,1,6
1144,Person search,51.515504,-0.07627,2021,6,10,1,17,21
1146,Person search,51.509547,-0.076031,2021,6,11,3,30,59
1147,Person search,51.50932,-0.084701,2021,6,13,5,3,56
1150,Person search,51.514409,-0.079674,2021,6,15,6,6,38
1151,Person search,51.512598,-0.084967,2021,6,16,4,19,36
1152,Person and Vehicle search,51.509848,-0.104494,2021,6,17,0,58,18
1153,Person search,51.509848,-0.104494,2021,6,17,4,22,8
1154,Person search,51.515142,-0.097645,2021,6,17,6,46,42
1155,Person and Vehicle search,51.509848,-0.104494,2021,6,17,11,33,21
1156,Person search,51.517042,-0.102812,2021,6,18,11,35,59
1157,Person search,51.510795,-0.077578,2021,6,19,5,23,0
1158,Person search,51.513915,-0.07318,2021,6,19,9,29,27
1159,Person search,51.513915,-0.07318,2021,6,19,9,38,21
1161,Person search,51.510414,-0.073515,2021,6,22,4,53,36
1163,Person search,51.516814,-0.08162,2021,6,23,5,53,54
1164,Person search,51.514203,-0.094628,2021,6,23,9,57,5
1166,Person and Vehicle search,51.511794,-0.088042,2021,6,24,3,36,57
1167,Person and Vehicle search,51.537964,-0.056981,2021,6,24,7,34,17
1168,Person search,51.510795,-0.077578,2021,6,25,0,51,43
1169,Person search,51.506255,-0.074901,2021,6,25,1,34,27
1171,Person search,51.517032,-0.089451,2021,6,25,9,12,11
1172,Person and Vehicle search,51.516814,-0.08162,2021,6,25,9,51,13
1173,Person search,51.516814,-0.08162,2021,6,26,1,16,38
1174,Person search,51.510182,-0.092865,2021,6,26,2,49,56
1175,Person and Vehicle search,51.517032,-0.089451,2021,6,26,5,2,18
1176,Person search,51.516814,-0.08162,2021,6,26,5,18,23
1183,Person search,51.512856,-0.073254,2021,7,2,1,30,13
1185,Person search,51.518743,-0.089596,2021,7,3,10,19,36
1186,Person search,51.513435,-0.075146,2021,7,4,1,1,45
1187,Person search,51.513435,-0.075146,2021,7,4,1,8,4
1189,Person search,51.513051,-0.104001,2021,7,4,6,0,27
1190,Person and Vehicle search,51.511749,-0.108018,2021,7,5,3,10,53
1191,Person search,51.516386,-0.108965,2021,7,5,8,15,13
1193,Person search,51.509344,-0.080665,2021,7,6,8,34,43
1194,Person search,51.514203,-0.094628,2021,7,6,9,0,6
1195,Person search,51.514763,-0.075508,2021,7,6,11,15,34
1197,Person search,51.516508,-0.079398,2021,7,8,3,59,34
1198,Person and Vehicle search,51.51972,-0.099933,2021,7,8,8,57,5
1199,Person search,51.509344,-0.080665,2021,7,9,5,11,11
1200,Person search,51.512462,-0.076095,2021,7,9,5,36,15
1202,Person search,51.514933,-0.074896,2021,7,11,3,36,49
1203,Person search,51.51768,-0.078484,2021,7,11,3,50,21
1205,Person and Vehicle search,51.511625,-0.081549,2021,7,12,0,24,6
1206,Person search,51.513769,-0.076833,2021,7,13,0,31,26
1208,Person and Vehicle search,51.511625,-0.081549,2021,7,13,4,3,19
1210,Person and Vehicle search,51.514418,-0.091823,2021,7,14,5,50,57
1211,Person search,51.508066,-0.08778,2021,7,15,2,33,49
1215,Person and Vehicle search,51.516814,-0.08162,2021,7,17,9,50,29
1216,Person search,51.514203,-0.094628,2021,7,18,2,49,34
1217,Person search,51.514933,-0.074896,2021,7,19,4,56,12
1218,Person search,51.514933,-0.074896,2021,7,19,5,7,21
1222,Person and Vehicle search,51.518709,-0.101345,2021,7,21,8,44,9
1225,Person search,51.517149,-0.08776,2021,7,22,10,41,28
1226,Person and Vehicle search,51.50995,-0.078665,2021,7,24,3,7,14
1227,Person search,51.513171,-0.077694,2021,7,24,3,28,30
1228,Person search,51.509313,-0.07385,2021,7,25,0,16,32
1230,Person and Vehicle search,51.513389,-0.080034,2021,7,27,5,24,9
1233,Person search,51.516855,-0.080234,2021,7,30,5,43,10
1237,Person search,51.51768,-0.078484,2021,8,1,4,27,32
1238,Person and Vehicle search,51.517196,-0.085149,2021,8,2,1,24,16
1240,Person search,51.513799,-0.071038,2021,8,3,2,45,59
1242,Person search,51.516814,-0.08162,2021,8,4,5,26,53
1244,Person search,51.520699,-0.097601,2021,8,5,2,51,14
1245,Person search,51.508066,-0.08778,2021,8,5,3,14,42
1248,Person and Vehicle search,51.514203,-0.094628,2021,8,6,4,4,41
1249,Person and Vehicle search,51.514203,-0.094628,2021,8,6,4,6,53
1250,Person and Vehicle search,51.514203,-0.094628,2021,8,6,4,7,23
1252,Person search,51.515504,-0.07627,2021,8,7,6,6,14
1253,Person search,51.514203,-0.094628,2021,8,10,4,26,36
1254,Person search,51.5169,-0.084095,2021,8,10,5,20,26
1258,Person and Vehicle search,51.514367,-0.076592,2021,8,12,6,7,36
1260,Person and Vehicle search,51.509848,-0.104494,2021,8,13,1,31,58
1261,Person and Vehicle search,51.509848,-0.104494,2021,8,13,7,33,30
1262,Person search,51.511749,-0.108018,2021,8,13,11,16,27
1263,Person search,51.515546,-0.070056,2021,8,13,11,32,8
1265,Person search,51.518017,-0.075991,2021,8,14,8,54,56
1266,Person and Vehicle search,51.512598,-0.084967,2021,8,14,9,44,39
1267,Person and Vehicle search,51.509313,-0.07385,2021,8,15,4,50,13
1268,Person search,51.516207,-0.101794,2021,8,15,5,50,55
1269,Person search,51.517196,-0.085149,2021,8,15,7,7,37
1272,Person and Vehicle search,51.51265,-0.101452,2021,8,16,3,57,55
1273,Person search,51.51265,-0.101452,2021,8,16,5,24,48
1276,Person search,51.51868,-0.085173,2021,8,19,9,25,1
1277,Person and Vehicle search,51.520059,-0.084251,2021,8,20,4,25,20
1278,Person and Vehicle search,51.522233,-0.107382,2021,8,20,6,52,5
1279,Person search,51.516351,-0.082965,2021,8,21,0,48,32
1280,Person search,51.512147,-0.092077,2021,8,22,10,7,58
1282,Person search,51.516386,-0.108965,2021,8,23,5,55,32
1284,Person and Vehicle search,51.510148,-0.077029,2021,8,24,4,26,7
1286,Person search,51.51494,-0.079162,2021,8,25,3,35,14
1288,Person search,51.510494,-0.084983,2021,8,25,5,41,18
1290,Person search,51.516814,-0.08162,2021,8,26,2,9,57
1291,Person and Vehicle search,51.505396,-0.088901,2021,8,26,4,42,26
1292,Person search,51.513914,-0.11071,2021,8,27,2,40,55
1298,Person and Vehicle search,51.518226,-0.111497,2021,8,29,1,29,48
1301,Person and Vehicle search,51.508066,-0.08778,2021,8,30,0,50,8
1305,Person and Vehicle search,51.514151,-0.074958,2021,9,1,1,42,47
1307,Person search,51.514151,-0.074958,2021,9,1,11,49,39
1309,Person search,51.517032,-0.089451,2021,9,2,2,11,44
1310,Person and Vehicle search,51.514457,-0.073849,2021,9,2,2,39,26
1312,Person search,51.512598,-0.084967,2021,9,2,7,34,16
1313,Person search,51.508066,-0.08778,2021,9,3,4,12,12
1314,Person search,51.508066,-0.08778,2021,9,3,4,21,9
